words,key_hold_duration,interval
83,94 ms,-99
84,51 ms,-182
69,99 ms,-137
87,10 ms,-53
32,0 ms,-89
87,101 ms,-96
65,56 ms,-90
83,0 ms,-79
188,55 ms,-140
32,57 ms,-124
73,60 ms,-114
78,66 ms,-108
32,0 ms,-53
84,72 ms,-49
72,64 ms,-86
73,49 ms,-106
83,40 ms,-36
32,0 ms,-43
77,64 ms,-91
79,44 ms,-139
77,55 ms,-112
69,0 ms,-3
78,61 ms,-164
84,0 ms,-53
